epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.7897,0.93556,3.53105,1.48298,0.2316,0.32976,0.21627,0.14007,1.00971,2.43953,1.69274,0.00015114,0.00015114,0.00015114
2,79.842,0.95525,2.70838,1.47571,0.42151,0.40169,0.38224,0.23593,1.16575,2.09593,1.80144,0.000287818,0.000287818,0.000287818
3,116.081,0.95192,2.29394,1.45352,0.45223,0.45487,0.42931,0.26581,1.16344,2.11525,1.86055,0.000409481,0.000409481,0.000409481
4,151.495,0.9518,2.08954,1.45523,0.62279,0.47058,0.53771,0.33834,1.11483,1.76114,1.78282,0.000387433,0.000387433,0.000387433
5,186.821,0.91865,1.87535,1.42435,0.58956,0.50976,0.54762,0.37234,1.04637,1.65486,1.71573,0.00036491,0.00036491,0.00036491
6,222.776,0.90539,1.74121,1.41319,0.61758,0.56191,0.58725,0.40671,1.00099,1.52652,1.63316,0.000342387,0.000342387,0.000342387
7,258.998,0.88187,1.63868,1.38968,0.57513,0.59585,0.60746,0.40904,1.02789,1.56513,1.65435,0.000319865,0.000319865,0.000319865
8,295.656,0.85148,1.51726,1.36708,0.70943,0.6552,0.71576,0.49532,1.00041,1.25437,1.62306,0.000297342,0.000297342,0.000297342
9,332.512,0.84304,1.47113,1.36086,0.67188,0.61322,0.66436,0.4669,0.96732,1.36849,1.59123,0.00027482,0.00027482,0.00027482
10,369.307,0.83124,1.3905,1.34625,0.71404,0.63369,0.69702,0.48695,1.01528,1.29595,1.62665,0.000252298,0.000252298,0.000252298
11,421.233,0.69667,1.06969,1.37761,0.64279,0.72145,0.73701,0.53342,0.95911,1.15046,1.59429,0.000229775,0.000229775,0.000229775
12,458.451,0.64149,0.90142,1.32337,0.68202,0.69409,0.71899,0.51373,0.94559,1.14774,1.56595,0.000207252,0.000207252,0.000207252
13,494.998,0.6095,0.80544,1.2858,0.67243,0.62952,0.7112,0.51595,0.95703,1.14933,1.5961,0.00018473,0.00018473,0.00018473
14,531.947,0.58569,0.72671,1.26644,0.71453,0.69055,0.74782,0.55144,0.91924,1.10353,1.55339,0.000162207,0.000162207,0.000162207
15,570.167,0.55639,0.66389,1.22936,0.71892,0.70846,0.76709,0.56726,0.92235,1.02902,1.58187,0.000139685,0.000139685,0.000139685
16,606.367,0.53669,0.60001,1.21331,0.66546,0.74451,0.75494,0.55527,0.90999,1.04968,1.55779,0.000117163,0.000117163,0.000117163
17,642.641,0.50375,0.55162,1.18228,0.7577,0.70073,0.76518,0.57252,0.90127,0.99538,1.54422,9.464e-05,9.464e-05,9.464e-05
18,680.437,0.48484,0.51846,1.16426,0.72719,0.73476,0.76448,0.58141,0.90553,0.98589,1.55668,7.21175e-05,7.21175e-05,7.21175e-05
19,717.37,0.46442,0.48336,1.14216,0.7376,0.72432,0.76627,0.57889,0.8938,0.99144,1.54319,4.9595e-05,4.9595e-05,4.9595e-05
20,753.724,0.45134,0.45944,1.13335,0.73259,0.74352,0.77763,0.58286,0.90157,0.96826,1.56069,2.70725e-05,2.70725e-05,2.70725e-05
